,温度,,湿度,气压,风向,风速,so2,no2,co,o3_8h,pm10,Pm2.5,供暖,烟,霾,浮尘,扬沙,双休,国假,春节
2014/01/01 00:00,-14,-21,0.56,1022,0,4,51,1.696,14,14,202,115,1,0,1,0,0,0,0,0
2014/01/01 01:00,-14,-21,0.56,1021,0,0,46,1.897,14,14,211,119,1,0,1,0,0,0,0,0
2014/01/01 02:00,-15,-22,0.56,1020,0,3,43,1.813,14,14,249,124,1,0,1,0,0,0,0,0
2014/01/01 03:00,-13,-22,0.48,1019,0,0,43,1.662,14,14,233,116,1,0,1,0,0,0,0,0
2014/01/01 04:00,-17,-23,0.61,1019,0,0,40,1.643,14,14,247,112,1,0,1,0,0,0,0,0
2014/01/01 05:00,-17,-23,0.61,1018,3,1,36,1.755,14,14,214,103,1,0,1,0,0,0,0,0
2014/01/01 06:00,-18,-23,0.66,1017,0,2,33,2.176,14,14,217,110,1,0,1,0,0,0,0,0
2014/01/01 07:00,-18,-23,0.66,1018,0,2,32,2.297,14,14,235,110,1,0,1,0,0,0,0,0
2014/01/01 08:00,-17,-23,0.61,1018,295.5,2,36,2.198,14,14,210,101,1,0,1,0,0,0,0,0
2014/01/01 09:00,-15,-22,0.56,1018,106.54461758,2,37,2.176,14,14,206,107,1,0,1,0,0,0,0,0
2014/01/01 10:00,-9,-20,0.41,1018,180,1,38,2.079,15,14,203,110,1,0,1,0,0,0,0,0
2014/01/01 11:00,-8,-20,0.38,1018,180,2,43,2.033,15,14,225,118,1,0,1,0,0,0,0,0
2014/01/01 12:00,-7,-19,0.39,1017,3,1,47,2.016,15,14,243,138,1,0,1,0,0,0,0,0
2014/01/01 13:00,-5,-19,0.33,1016,180,3,54,1.987,15,15,267,141,1,0,1,0,0,0,0,0
2014/01/01 14:00,-3,-18,0.31,1014,3,1,62,1.877,16,15,270,150,1,0,1,0,0,0,0,0
2014/01/01 15:00,-1,-18,0.27,1014,3,1,70,1.891,16,15,251,146,1,0,1,0,0,0,0,0
2014/01/01 16:00,-1,-17,0.29,1014,135,2,75,2.256,16,15,243,147,1,0,1,0,0,0,0,0
2014/01/01 17:00,-1,-17,0.29,1015,3,1,68,1.834,16,16,229,137,1,0,1,0,0,0,0,0
2014/01/01 18:00,-2,-18,0.29,1015,22.5,1,54,1.436,21,16,188,114,1,0,1,0,0,0,0,0
2014/01/01 19:00,-5,-21,0.28,1016,45,2,59,1.539,15,16,148,96,1,0,1,0,0,0,0,0
2014/01/01 20:00,-6,-21,0.3,1017,0,0,62,1.71,14,16,153,89,1,0,1,0,0,0,0,0
2014/01/01 21:00,-9,-22,0.35,1018,22.5,1,60,1.591,14,16,167,105,1,0,1,0,0,0,0,0
2014/01/01 22:00,-11,-21,0.45,1019,0,2,59,1.722,14,16,181,110,1,0,1,0,0,0,0,0
2014/01/01 23:00,-12,-22,0.44,1019,0,1,58,1.613,14,16,194,114,1,0,1,0,0,0,0,0
2014/01/02 00:00,-12,-22,0.44,1019,3,1,51,1.675,14,15,205,110,1,0,0,0,0,0,0,0
2014/01/02 01:00,-12,-21,0.48,1018,0,1,46,1.771,14,15,220,119,1,0,0,0,0,0,0,0
2014/01/02 02:00,-12,-21,0.48,1019,0,2,40,2.095,14,14,212,116,1,0,0,0,0,0,0,0
2014/01/02 03:00,-10,-21,0.41,1018,45,1,36,2.309,14,14,244,118,1,0,0,0,0,0,0,0
2014/01/02 04:00,-10,-21,0.41,1019,0,3,35,2.328,14,14,253,118,1,0,0,0,0,0,0,0
